product,price,weight,maker,region,spicy,soupy,base
Samyang Foods Buldak Instant Hot Chicken Flavour Ramen With Kimchi,1.29,135.0,samyangfoods,southkorea,yes,yes,chicken
Nong Shim Kimchi Noodle Soup Ramen (Kimuchi Ramen),1.25,120.0,nongshim,southkorea,yes,yes,vegan
Garak Stir Fried Hot Chicken Ramen,1.49,130.0,garak,southkorea,yes,no,chicken
Nissin Cup Noodle Curry Flavour,3.89,87.0,nissinfoods,japan,no,yes,vegetable
Nissin Soba Fried Noodles Teriyaki Yakisoba (UK),1.25,110.0,nissinfoods,japan,no,yes,vegetable
Yamamoto Seifun Tanuki Oyaji no Ippin Super Spicy Mazemen Yakisoba Noodles,2.0,88.0,yamamotoseifun,japan,yes,no,vegetable
Garak Carbo Stir Fried Hot Chicken Ramen,1.22,145.0,garak,southkorea,yes,no,chicken
Samyang Foods Extra Spicy Hot Chicken Flavoured Ramen,1.59,70.0,samyangfoods,southkorea,yes,no,chicken
Nissin Soba Fried Noodles Chilli Yakisoba (UK),1.25,111.0,nissinfoods,japan,yes,no,vegetable
Nissin Raoh Instant Yuzu and Salt Ramen,2.33,93.0,nissinfoods,japan,no,yes,chicken
Hikari Menraku Japanese Chicken Paitan Ramen,1.94,80.0,hikarimiso,japan,no,yes,chicken
Nissin Demae Iccho Chicken Ramen (UK),0.89,100.0,nissinfoods,japan,no,yes,chicken
Hikari Menraku Japanese Tonkotsu Pork Stock Flavour Ramen,3.89,82.0,hikarimiso,japan,no,yes,pork
Nissin Demae Iccho Tonkotsu Ramen (UK),0.89,100.0,nissinfoods,japan,no,yes,pork
Maruchan Akai Kitsune Udon with Fried Tofu,3.99,96.0,maruchan,japan,no,yes,vegetable
Myojo Hyobanya Kasanedashi Shio Ramen,1.8,85.0,myojo,japan,no,yes,chicken
"Nong Shim Hot & Spicy Shin Ramen, Large",1.85,114.0,nongshim,southkorea,yes,yes,chicken
Daikoku Foods Salt Ramen,1.07,80.0,daikokufoods,japan,no,yes,chicken
Maruchan Non-Fried Chicken Soy Sauce Ramen,4.2,97.0,maruchan,japan,no,yes,chicken
Myojo Hyobanya Kasanedashi Miso Ramen,1.8,86.0,myojo,japan,no,yes,vegetable
Nong Shim Soon Veggie Ramyun Noodles,1.16,112.0,nongshim,southkorea,yes,yes,vegetable
Maruchan Seimen Salt Ramen,2.3,112.0,maruchan,japan,no,yes,chicken
Nissin Donbei Kitsune Udon with Fried Tofu,4.49,95.0,nissinfoods,japan,no,yes,vegetable
Nissin Raoh Soy Sauce Ramen,2.2,101.0,nissinfoods,japan,no,yes,pork
Garak Katsuo Udon Noodles Bowl,3.2,215.0,garak,southkorea,no,yes,seafood
Maruchan Seimen Yakisoba Noodles,2.3,110.0,maruchan,japan,no,no,vegetable
Nong Shim Kimchi Ramyun Noodle Soup,1.39,75.0,nongshim,southkorea,yes,yes,vegetable
Nissin Raoh Miso Ramen,2.2,99.0,nissinfoods,japan,no,yes,pork
Maruchan Seimen Tonkotsu Pork Stock Ramen,2.3,89.0,maruchan,japan,no,yes,pork
Maruchan Seimen Soy Sauce Ramen,2.3,105.0,maruchan,japan,no,yes,chicken
Myojo Charumera Salt Ramen,1.8,85.0,myojo,japan,no,yes,chicken
Garak Kimchi Udon Noodles Bowl,3.2,213.0,garak,southkorea,yes,yes,vegetable
Nissin Donbei Instant Curry Udon,4.49,86.0,nissinfoods,japan,no,yes,chicken
Maruchan Midorino Tanuki Soba With Tempura,4.99,98.0,maruchan,japan,no,yes,vegetable
Itsuki Kumamoto Style Red Hot Spicy Ramen (Akakara),2.2,103.0,itsuki,japan,yes,yes,pork
Sanyo Foods Pokemon Soy Sauce Ramen,3.2,38.0,sanyo,japan,no,yes,vegetable
Myojo Hyobanya Kasanedashi Shoyu Ramen,1.8,86.0,myojo,japan,no,yes,chicken
Daikoku Foods Miso Ramen,1.07,81.0,daikokufoods,japan,no,yes,pork
Maruchan Chicken Stock Salt Ramen,4.2,87.0,maruchan,japan,no,yes,chicken
"Maruchan Midorino Tanuki Soba with Tempura, Large",5.2,146.0,maruchan,japan,no,yes,vegetable
Maruchan Midorino Tanuki Soba With Tempura,3.99,99.0,maruchan,japan,no,yes,seafood
Maruchan Chikara Udon with Mochi Rice Cake,3.99,109.0,maruchan,japan,no,yes,vegetable
"Maruchan Akai Kitsune Udon with Fried Tofu, Small",2.89,41.0,maruchan,japan,no,yes,vegetable
Maruchan Seimen Miso Ramen,2.3,108.0,maruchan,japan,no,yes,pork
Maruchan Non-Fried Mixed Miso Ramen,4.2,104.0,maruchan,japan,no,yes,vegetable
Nong Shim Cham Pong Ramen,1.29,124.0,nongshim,southkorea,yes,yes,seafood
Garak Hot Chicken Udon Noodles Bowl,3.2,215.0,garak,southkorea,yes,yes,chicken
Garak Carbo Hot Chicken Udon Noodles Bowl,3.2,230.0,garak,southkorea,yes,no,chicken
Maruchan Seimen Tonkotsu Soy Sauce Ramen,2.3,101.0,maruchan,japan,no,yes,pork
Maruchan Menzukuri Rich Tonkotsu Ramen,4.2,87.0,maruchan,japan,no,yes,pork
Nong Shim Chapaghetti Instant Black Spaghetti,1.25,140.0,nongshim,southkorea,no,yes,vegetable
Nissin Raoh Instant Tonkotsu Soy Sauce Ramen,2.33,100.0,nissinfoods,japan,no,yes,pork
Yamamoto Seifun Tanuki Oyaji no Ippin Tonkotsu Style Spicy Ramen Noodles,1.7,90.0,yamamotoseifun,japan,yes,yes,pork
Yamamoto Seifun Ponpoko Yakisoba Stir Fry Noodles,1.25,89.0,yamamotoseifun,japan,no,no,vegetable
Garak Instant Kimchi Ramen (Multipack),1.4,120.0,garak,southkorea,yes,yes,vegetable
Young Poong Yopokki Cheese Topokki Rice Cakes,2.49,120.0,youngpoongfoods,southkorea,no,no,vegetable
Yamamoto Seifun Tanuki Oyaji no Ippin Yakisoba Stir Fry Noodles,2.0,87.0,yamamotoseifun,japan,no,no,vegetable
Garak Instant Seafood Ramen,1.4,120.0,garak,southkorea,yes,yes,seafood
